event_id,title,description,event_type,date,start_time,end_time,location,capacity,registered,status,cost
EVT000001,Workshop - Fall,An important academic conference for the university community.,Graduation,2024-05-07,13:00,20:00,Science Center 261,298,13,Completed,0
EVT000002,Career Fair - Fall,An important orientation for the university community.,Seminar,2024-11-10,13:00,13:30,Business Building 294,132,141,Scheduled,0
EVT000003,Orientation - Spring,An important student club meeting for the university community.,Student Club Meeting,2025-12-02,10:30,17:30,Recreation Center 291,193,79,Cancelled,10
EVT000004,Academic Conference - Fall,An important sports event for the university community.,Sports Event,2024-01-06,11:30,11:30,Dormitory A 330,251,132,Completed,0
EVT000005,Seminar - Spring,An important graduation for the university community.,Cultural Event,2024-07-30,11:00,10:00,Dormitory A 285,215,172,Cancelled,25
EVT000006,Cultural Event - Annual,An important workshop for the university community.,Graduation,2025-08-11,17:30,18:30,Recreation Center 187,286,63,Scheduled,0
EVT000007,Orientation - Annual,An important graduation for the university community.,Workshop,2025-12-16,15:30,17:30,Dormitory B 162,65,49,Completed,0
EVT000008,Sports Event - Spring,An important workshop for the university community.,Cultural Event,2024-02-01,11:00,12:30,Library 135,122,94,Scheduled,0
EVT000009,Student Club Meeting - Fall,An important guest lecture for the university community.,Sports Event,2024-10-22,10:30,17:30,Main Hall 176,168,139,Completed,25
EVT000010,Guest Lecture - Spring,An important workshop for the university community.,Sports Event,2025-07-31,08:30,15:00,Arts Complex 132,228,136,Completed,0
EVT000011,Student Club Meeting - Annual,An important sports event for the university community.,Career Fair,2025-04-25,15:30,20:00,Arts Complex 344,194,46,Scheduled,0
EVT000012,Career Fair - Fall,An important guest lecture for the university community.,Career Fair,2025-06-30,13:30,14:30,Business Building 137,183,207,Cancelled,0
EVT000013,Seminar - Spring,An important guest lecture for the university community.,Academic Conference,2025-05-21,10:00,10:30,Dormitory B 249,300,242,Cancelled,10
EVT000014,Orientation - Annual,An important academic conference for the university community.,Orientation,2025-10-05,11:00,09:00,Business Building 124,239,170,Cancelled,25
EVT000015,Seminar - Annual,An important sports event for the university community.,Orientation,2025-09-20,08:00,09:30,Engineering Tower 203,241,236,Scheduled,25
EVT000016,Student Club Meeting - Fall,An important sports event for the university community.,Student Club Meeting,2024-09-06,14:00,11:00,Engineering Tower 267,234,141,Scheduled,0
EVT000017,Seminar - Spring,An important graduation for the university community.,Guest Lecture,2024-08-05,10:00,14:30,Science Center 376,146,38,Scheduled,25
EVT000018,Workshop - Annual,An important student club meeting for the university community.,Sports Event,2024-06-26,18:30,10:30,Computer Lab 144,97,213,Completed,25
EVT000019,Orientation - Annual,An important orientation for the university community.,Seminar,2024-09-02,10:30,16:30,Dormitory B 306,228,66,Scheduled,10
EVT000020,Orientation - Fall,An important student club meeting for the university community.,Sports Event,2024-02-11,14:30,17:00,Student Union 230,193,198,Completed,25
EVT000021,Guest Lecture - Fall,An important student club meeting for the university community.,Guest Lecture,2025-01-11,16:30,11:30,Business Building 117,192,132,Cancelled,0
EVT000022,Orientation - Spring,An important orientation for the university community.,Guest Lecture,2024-02-20,10:00,11:00,Arts Complex 342,209,103,Scheduled,0
EVT000023,Seminar - Fall,An important career fair for the university community.,Orientation,2025-12-10,09:00,18:30,Dormitory B 316,141,231,Completed,10
EVT000024,Academic Conference - Spring,An important student club meeting for the university community.,Orientation,2024-12-30,15:30,13:30,Business Building 155,241,112,Scheduled,0
EVT000025,Sports Event - Annual,An important student club meeting for the university community.,Cultural Event,2025-08-23,08:30,19:00,Auditorium 241,129,88,Cancelled,0
EVT000026,Career Fair - Spring,An important student club meeting for the university community.,Orientation,2025-01-23,17:30,10:00,Main Hall 104,136,203,Cancelled,10
EVT000027,Graduation - Fall,An important seminar for the university community.,Seminar,2025-02-16,09:30,18:30,Science Center 293,244,91,Scheduled,10
